Indicator ID,Dimension List,Timeframe,Numeric Value,Missing Value Flag,Confidence Interval Low,Confidence Interval High,Standard Error,LocaleID,Locale,Locale Level,Locale State FIPS Code,Locale County FIPS Code,Locale County SSA Code,Locale HRR Code,Total,Age,Sex,Race Ethnicity,Income And Poverty Status,Educational Attainment,Health Insurance Status,Sexual Orientation,Marital Status,Family Type,Veteran Status,Country Of Birth,Disability Status,Obesity Status,Characteristic Of School Or Student,Other,Geography,Modifier1,Modifier2,Modifier3,Modifier4,Modifier5,Numerator,Denominator
416487323,"Non-Hispanic Black (Of mother)","2014","DSU","DSU",,,,411,"Connecticut - Litchfield","County","09","9005",,,,,,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,,"123"
416487324,"Total","2014","6.6",,"4.6","9.2","1.1",412,"Connecticut - Middlesex","County","09","9007",,,"Total",,,,,,,,,,,,,,,,,,,,,,"35","5285"
416487325,"Aged 15-17 years (Of mother)","2014","DSU","DSU",,,,412,"Connecticut - Middlesex","County","09","9007",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"10","3114"
416487326,"Aged 18-19 years (Of mother)","2014","11.5",,"7.5","17.0","2.3",412,"Connecticut - Middlesex","County","09","9007",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"25","2171"
416487327,"Hispanic or Latino (Of mother)","2014","DSU","DSU",,,,412,"Connecticut - Middlesex","County","09","9007",,,,,,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,,"426"
416487328,"Non-Hispanic White (Of mother)","2014","DSU","DSU",,,,412,"Connecticut - Middlesex","County","09","9007",,,,,,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,,"4218"
416487329,"Non-Hispanic Black (Of mother)","2014","DSU","DSU",,,,412,"Connecticut - Middlesex","County","09","9007",,,,,,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,,"332"
416487330,"Total","2014","14.5",,"13.1","15.8","0.7",413,"Connecticut - New Haven","County","09","9009",,,"Total",,,,,,,,,,,,,,,,,,,,,,"435","30100"
416487331,"Aged 15-17 years (Of mother)","2014","8.2",,"6.8","9.6","0.7",413,"Connecticut - New Haven","County","09","9009",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"136","16624"
416487332,"Aged 18-19 years (Of mother)","2014","22.2",,"19.7","24.7","1.3",413,"Connecticut - New Haven","County","09","9009",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"299","13476"
416487333,"Hispanic or Latino (Of mother)","2014","33.2",,"28.8","37.6","2.2",413,"Connecticut - New Haven","County","09","9009",,,,,,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"218","6565"
416487334,"Non-Hispanic White (Of mother)","2014","DSU","DSU",,,,413,"Connecticut - New Haven","County","09","9009",,,,,,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,,"17516"
416487335,"Non-Hispanic Black (Of mother)","2014","DSU","DSU",,,,413,"Connecticut - New Haven","County","09","9009",,,,,,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,,"4632"
416487336,"Total","2014","10.3",,"8.2","12.6","1.1",414,"Connecticut - New London","County","09","9011",,,"Total",,,,,,,,,,,,,,,,,,,,,,"88","8573"
416487337,"Aged 15-17 years (Of mother)","2014","3.9",,"2.4","6.0","0.9",414,"Connecticut - New London","County","09","9011",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"20","5119"
416487338,"Aged 18-19 years (Of mother)","2014","19.7",,"15.3","25.0","2.4",414,"Connecticut - New London","County","09","9011",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"68","3454"
416487339,"Hispanic or Latino (Of mother)","2014","25.1",,"16.8","36.1","4.7",414,"Connecticut - New London","County","09","9011",,,,,,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"29","1154"
416487340,"Non-Hispanic White (Of mother)","2014","DSU","DSU",,,,414,"Connecticut - New London","County","09","9011",,,,,,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,,"6132"
416487341,"Non-Hispanic Black (Of mother)","2014","DSU","DSU",,,,414,"Connecticut - New London","County","09","9011",,,,,,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,,"707"
416487342,"Total","2014","3.7",,"2.5","5.4","0.7",415,"Connecticut - Tolland","County","09","9013",,,"Total",,,,,,,,,,,,,,,,,,,,,,"28","7501"
416487343,"Aged 15-17 years (Of mother)","2014","DSU","DSU",,,,415,"Connecticut - Tolland","County","09","9013",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,,"2842"
416487344,"Aged 18-19 years (Of mother)","2014","5.2",,"3.3","7.7","1.1",415,"Connecticut - Tolland","County","09","9013",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"24","4659"
416487345,"Hispanic or Latino (Of mother)","2014","DSU","DSU",,,,415,"Connecticut - Tolland","County","09","9013",,,,,,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,,"460"
416487346,"Non-Hispanic White (Of mother)","2014","DSU","DSU",,,,415,"Connecticut - Tolland","County","09","9013",,,,,,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,,"6224"
416487347,"Non-Hispanic Black (Of mother)","2014","DSU","DSU",,,,415,"Connecticut - Tolland","County","09","9013",,,,,,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,,"325"
416487348,"Total","2014","12.0",,"8.9","15.9","1.7",416,"Connecticut - Windham","County","09","9015",,,"Total",,,,,,,,,,,,,,,,,,,,,,"48","3995"
416487349,"Aged 15-17 years (Of mother)","2014","DSU","DSU",,,,416,"Connecticut - Windham","County","09","9015",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,,"2109"
416487350,"Aged 18-19 years (Of mother)","2014","22.3",,"16.0","30.1","3.4",416,"Connecticut - Windham","County","09","9015",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"42","1886"
416487351,"Hispanic or Latino (Of mother)","2014","DSU","DSU",,,,416,"Connecticut - Windham","County","09","9015",,,,,,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"13","581"
416487352,"Non-Hispanic White (Of mother)","2014","DSU","DSU",,,,416,"Connecticut - Windham","County","09","9015",,,,,,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,,"3144"
416487353,"Non-Hispanic Black (Of mother)","2014","DSU","DSU",,,,416,"Connecticut - Windham","County","09","9015",,,,,,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,,"140"
416465460,"Total","2012-2014","13.2",,"12.8","13.6","0.2",9,"Connecticut","State","09","9",,,"Total",,,,,,,,,,,,,,,,,,,,,,"4915","372445"
416465461,"Aged 15-17 years (Of mother)","2012-2014","6.4",,"6.0","6.7","0.2",9,"Connecticut","State","09","9",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"1364","214458"
416465462,"Aged 18-19 years (Of mother)","2012-2014","22.5",,"21.7","23.2","0.4",9,"Connecticut","State","09","9",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"3551","157987"
416465469,"Aged 15-17 years; Hispanic or Latino (Of mother)","2012-2014","20.1",,"18.7","21.5","0.7",9,"Connecticut","State","09","9",,,,"Aged 15-17 years",,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"800","39852"
416465463,"Aged 18-19 years; Hispanic or Latino (Of mother)","2012-2014","61.5",,"58.6","64.4","1.5",9,"Connecticut","State","09","9",,,,"Aged 18-19 years",,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"1700","27644"
416465471,"Aged 15-17 years; Non-Hispanic White (Of mother)","2012-2014","1.5",,"1.3","1.7","0.1",9,"Connecticut","State","09","9",,,,"Aged 15-17 years",,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,"211","138651"
416465468,"Aged 18-19 years; Non-Hispanic White (Of mother)","2012-2014","7.4",,"6.9","7.9","0.3",9,"Connecticut","State","09","9",,,,"Aged 18-19 years",,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,"771","104133"
416465467,"Aged 15-17 years; Non-Hispanic Black (Of mother)","2012-2014","7.3",,"6.2","8.3","0.5",9,"Connecticut","State","09","9",,,,"Aged 15-17 years",,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,"189","26052"
416465470,"Aged 18-19 years; Non-Hispanic Black (Of mother)","2012-2014","26.8",,"24.5","29.2","1.2",9,"Connecticut","State","09","9",,,,"Aged 18-19 years",,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,"512","19077"
416465464,"Hispanic or Latino (Of mother)","2012-2014","37.0",,"35.6","38.5","0.7",9,"Connecticut","State","09","9",,,,,,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"2500","67496"
416465465,"Non-Hispanic White (Of mother)","2012-2014","4.0",,"3.8","4.3","0.1",9,"Connecticut","State","09","9",,,,,,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,"982","242784"
416465466,"Non-Hispanic Black (Of mother)","2012-2014","15.5",,"14.4","16.7","0.6",9,"Connecticut","State","09","9",,,,,,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,"701","45129"
416467830,"Total","2012-2014","10.7",,"10.1","11.4","0.3",409,"Connecticut - Fairfield","County","09","9001",,,"Total",,,,,,,,,,,,,,,,,,,,,,"1057","98424"
416467831,"Aged 15-17 years (Of mother)","2012-2014","4.9",,"4.3","5.4","0.3",409,"Connecticut - Fairfield","County","09","9001",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"290","59637"
416467832,"Aged 18-19 years (Of mother)","2012-2014","19.8",,"18.4","21.2","0.7",409,"Connecticut - Fairfield","County","09","9001",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"767","38787"
416467833,"Hispanic or Latino (Of mother)","2012-2014","32.2",,"29.6","34.7","1.3",409,"Connecticut - Fairfield","County","09","9001",,,,,,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"626","19471"
416467834,"Non-Hispanic White (Of mother)","2012-2014","1.8",,"1.4","2.1","0.2",409,"Connecticut - Fairfield","County","09","9001",,,,,,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,"109","62281"
416467835,"Non-Hispanic Black (Of mother)","2012-2014","15.4",,"13.2","17.6","1.1",409,"Connecticut - Fairfield","County","09","9001",,,,,,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,"190","12346"
416467836,"Total","2012-2014","16.5",,"15.7","17.4","0.4",410,"Connecticut - Hartford","County","09","9003",,,"Total",,,,,,,,,,,,,,,,,,,,,,"1475","89269"
416467837,"Aged 15-17 years (Of mother)","2012-2014","8.1",,"7.3","8.9","0.4",410,"Connecticut - Hartford","County","09","9003",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"435","53662"
416467838,"Aged 18-19 years (Of mother)","2012-2014","29.2",,"27.4","31.0","0.9",410,"Connecticut - Hartford","County","09","9003",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"1040","35607"
416467839,"Hispanic or Latino (Of mother)","2012-2014","45.1",,"42.1","48.0","1.5",410,"Connecticut - Hartford","County","09","9003",,,,,,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"885","19639"
416467840,"Non-Hispanic White (Of mother)","2012-2014","4.0",,"3.5","4.6","0.3",410,"Connecticut - Hartford","County","09","9003",,,,,,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,"208","51507"
416467841,"Non-Hispanic Black (Of mother)","2012-2014","14.2",,"12.2","16.1","1.0",410,"Connecticut - Hartford","County","09","9003",,,,,,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,"196","13842"
416467842,"Total","2012-2014","8.2",,"6.8","9.5","0.7",411,"Connecticut - Litchfield","County","09","9005",,,"Total",,,,,,,,,,,,,,,,,,,,,,"141","17226"
416467843,"Aged 15-17 years (Of mother)","2012-2014","2.8",,"1.9","4.0","0.5",411,"Connecticut - Litchfield","County","09","9005",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"32","11229"
416467844,"Aged 18-19 years (Of mother)","2012-2014","18.2",,"14.8","21.6","1.7",411,"Connecticut - Litchfield","County","09","9005",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"109","5997"
416467845,"Hispanic or Latino (Of mother)","2012-2014","16.7",,"10.5","25.3","3.6",411,"Connecticut - Litchfield","County","09","9005",,,,,,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"22","1318"
416467846,"Non-Hispanic White (Of mother)","2012-2014","5.2",,"4.1","6.5","0.6",411,"Connecticut - Litchfield","County","09","9005",,,,,,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,"78","15060"
416467847,"Non-Hispanic Black (Of mother)","2012-2014","DSU","DSU",,,,411,"Connecticut - Litchfield","County","09","9005",,,,,,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,,"358"
416467848,"Total","2012-2014","6.8",,"5.5","8.0","0.7",412,"Connecticut - Middlesex","County","09","9007",,,"Total",,,,,,,,,,,,,,,,,,,,,,"107","15826"
416467849,"Aged 15-17 years (Of mother)","2012-2014","3.1",,"2.1","4.5","0.6",412,"Connecticut - Middlesex","County","09","9007",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"29","9247"
416467850,"Aged 18-19 years (Of mother)","2012-2014","11.9",,"9.4","14.8","1.3",412,"Connecticut - Middlesex","County","09","9007",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"78","6579"
416467851,"Hispanic or Latino (Of mother)","2012-2014","22.2",,"14.7","32.0","4.2",412,"Connecticut - Middlesex","County","09","9007",,,,,,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"28","1263"
416467852,"Non-Hispanic White (Of mother)","2012-2014","3.4",,"2.5","4.6","0.5",412,"Connecticut - Middlesex","County","09","9007",,,,,,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,"44","12799"
416467853,"Non-Hispanic Black (Of mother)","2012-2014","DSU","DSU",,,,412,"Connecticut - Middlesex","County","09","9007",,,,,,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,,"977"
416467854,"Total","2012-2014","16.6",,"15.8","17.4","0.4",413,"Connecticut - New Haven","County","09","9009",,,"Total",,,,,,,,,,,,,,,,,,,,,,"1508","90876"
416467855,"Aged 15-17 years (Of mother)","2012-2014","9.1",,"8.3","9.9","0.4",413,"Connecticut - New Haven","County","09","9009",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"456","50099"
416467856,"Aged 18-19 years (Of mother)","2012-2014","25.8",,"24.2","27.4","0.8",413,"Connecticut - New Haven","County","09","9009",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"1052","40777"
416467857,"Hispanic or Latino (Of mother)","2012-2014","39.1",,"36.3","41.9","1.4",413,"Connecticut - New Haven","County","09","9009",,,,,,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"756","19324"
416467858,"Non-Hispanic White (Of mother)","2012-2014","4.9",,"4.3","5.5","0.3",413,"Connecticut - New Haven","County","09","9009",,,,,,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,"263","53541"
416467859,"Non-Hispanic Black (Of mother)","2012-2014","18.6",,"16.4","20.9","1.1",413,"Connecticut - New Haven","County","09","9009",,,,,,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,"263","14103"
416467860,"Total","2012-2014","12.9",,"11.5","14.3","0.7",414,"Connecticut - New London","County","09","9011",,,"Total",,,,,,,,,,,,,,,,,,,,,,"339","26262"
416467861,"Aged 15-17 years (Of mother)","2012-2014","4.4",,"3.4","5.5","0.5",414,"Connecticut - New London","County","09","9011",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"68","15577"
416467862,"Aged 18-19 years (Of mother)","2012-2014","25.4",,"22.3","28.4","1.5",414,"Connecticut - New London","County","09","9011",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"271","10685"
416467863,"Hispanic or Latino (Of mother)","2012-2014","29.5",,"23.8","35.3","2.9",414,"Connecticut - New London","County","09","9011",,,,,,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"101","3423"
416467864,"Non-Hispanic White (Of mother)","2012-2014","7.2",,"6.0","8.4","0.6",414,"Connecticut - New London","County","09","9011",,,,,,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,"138","19103"
416467865,"Non-Hispanic Black (Of mother)","2012-2014","17.0",,"11.9","23.6","2.8",414,"Connecticut - New London","County","09","9011",,,,,,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,"36","2116"
416467866,"Total","2012-2014","3.9",,"3.2","4.9","0.4",415,"Connecticut - Tolland","County","09","9013",,,"Total",,,,,,,,,,,,,,,,,,,,,,"88","22340"
416467867,"Aged 15-17 years (Of mother)","2012-2014","DSU","DSU",,,,415,"Connecticut - Tolland","County","09","9013",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"18","8599"
416467868,"Aged 18-19 years (Of mother)","2012-2014","5.1",,"4.0","6.4","0.6",415,"Connecticut - Tolland","County","09","9013",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"70","13741"
416467869,"Hispanic or Latino (Of mother)","2012-2014","DSU","DSU",,,,415,"Connecticut - Tolland","County","09","9013",,,,,,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"17","1355"
416467870,"Non-Hispanic White (Of mother)","2012-2014","2.4",,"1.7","3.2","0.4",415,"Connecticut - Tolland","County","09","9013",,,,,,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,"44","18692"
416467871,"Non-Hispanic Black (Of mother)","2012-2014","DSU","DSU",,,,415,"Connecticut - Tolland","County","09","9013",,,,,,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,,"969"
416467872,"Total","2012-2014","16.4",,"14.1","18.6","1.2",416,"Connecticut - Windham","County","09","9015",,,"Total",,,,,,,,,,,,,,,,,,,,,,"200","12222"
416467873,"Aged 15-17 years (Of mother)","2012-2014","5.6",,"3.9","7.8","0.9",416,"Connecticut - Windham","County","09","9015",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"36","6408"
416467874,"Aged 18-19 years (Of mother)","2012-2014","28.2",,"23.9","32.5","2.2",416,"Connecticut - Windham","County","09","9015",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"164","5814"
416467875,"Hispanic or Latino (Of mother)","2012-2014","38.2",,"29.5","48.6","4.7",416,"Connecticut - Windham","County","09","9015",,,,,,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"65","1703"
416467876,"Non-Hispanic White (Of mother)","2012-2014","10.0",,"8.1","12.2","1.0",416,"Connecticut - Windham","County","09","9015",,,,,,"Non-Hispanic White",,,,,,,,,,,,,,"(Of mother)",,,,,"98","9801"
416467877,"Non-Hispanic Black (Of mother)","2012-2014","DSU","DSU",,,,416,"Connecticut - Windham","County","09","9015",,,,,,"Non-Hispanic Black",,,,,,,,,,,,,,"(Of mother)",,,,,,"418"
416445984,"Total","2010-2014","14.9",,"14.6","15.2","0.2",9,"Connecticut","State","09","9",,,"Total",,,,,,,,,,,,,,,,,,,,,,"9209","617579"
416445985,"Aged 15-17 years (Of mother)","2010-2014","7.0",,"6.7","7.2","0.1",9,"Connecticut","State","09","9",,,,"Aged 15-17 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"2521","361311"
416445986,"Aged 18-19 years (Of mother)","2010-2014","26.1",,"25.5","26.7","0.3",9,"Connecticut","State","09","9",,,,"Aged 18-19 years",,,,,,,,,,,,,,,,"(Of mother)",,,,,"6688","256268"
416445993,"Aged 15-17 years; Hispanic or Latino (Of mother)","2010-2014","21.6",,"20.5","22.7","0.6",9,"Connecticut","State","09","9",,,,"Aged 15-17 years",,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"1406","65129"
416445987,"Aged 18-19 years; Hispanic or Latino (Of mother)","2010-2014","71.0",,"68.5","73.4","1.3",9,"Connecticut","State","09","9",,,,"Aged 18-19 years",,"Hispanic or Latino",,,,,,,,,,,,,,"(Of mother)",,,,,"3217","45323"
